test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
1;0;0;0;10,75;1;10,75;0;0;0;0;1;0;0;1;0;0;9,75;1;0;0;0;0;0;0;1;0;NA;0;0;3;5;8;9;15.000 forint
9.5;5;10;9,5;69;59;64;0;1;0;0;1;0;0;1;0;0;10;29;25;1;0;0;0;0;1;0;NA;0;0;3;5;7;6;15.000 forint
15;11,5;15;10;97,5;85,5;87,5;0;0;0;0;1;0;0;1;0;0;12;41,5;34;1;0;0;0;0;1;0;NA;0;0;3;5;6;9;11.000 forint
8;6,5;8,5;12;72,25;61;65,75;0;1;1;0;1;0;0;1;0;0;11,25;28,5;26;1;0;0;0;0;1;0;NA;0;0;4;NA;9;9;15.000 forint
5.5;9,5;8;9;71,08;61;65,58;0;1;1;0;1;0;0;1;0;0;10,08;26,5;29;0;0;0;0;0;1;0;NA;0;0;4;4;8;7;12.000 forint
11;2;10;10;67,25;56,5;65,25;0;1;1;0;1;0;0;1;0;0;10,75;31;23,5;1;0;0;0;0;1;0;NA;0;0;5;5;6;8;11.000 forint
11.5;6,5;13;6;75,25;63,5;69,25;0;1;0;0;1;0;0;1;0;0;11,75;31;26,5;1;0;0;0;0;1;0;NA;0;0;3;5;6;9;20.000 forint
9.5;5;8;14;74;63;69;0;0;1;0;1;0;0;1;0;0;11;31,5;26,5;0;0;0;0;0;1;0;NA;0;0;4;4;6;6;12.000 forint
12;11;14,5;16;99;87,5;88;0;1;1;0;1;0;0;1;0;0;11,5;42,5;34;1;0;0;0;0;1;0;NA;0;0;3;5;5;7;15.000 forint
14;4,5;11,5;15;87,5;75,5;83;0;1;0;0;1;0;0;1;0;0;12;40,5;30,5;0;0;0;0;0;1;0;NA;0;0;4;5;3;5;11.000 forint
14;3,5;14,5;14;89,5;80;86;0;1;0;0;1;0;0;1;0;0;9,5;42,5;34;1;0;0;0;1;0;0;NA;0;0;5;5;7;9;12.000 forint
13;12,5;10,5;12;80,5;71,5;70;0;0;1;0;1;0;0;1;0;0;9;37,5;23,5;0;0;0;0;1;0;0;NA;0;0;5;5;10;10;15.000 forint
10.5;8,5;15,5;8;77,5;67;69,5;0;1;1;0;1;0;0;1;0;0;10,5;34,5;24,5;1;0;0;0;1;0;0;NA;0;0;4;5;6;6;11.000 forint
13;6;12,5;7,5;77,25;68;71,25;0;0;1;0;1;0;0;1;0;0;9,25;33;29;0;0;0;0;1;0;0;NA;0;0;3;5;5;8;12.000 forint
16;15;10,5;16;93,75;83;83,25;0;0;0;0;1;0;0;1;0;0;10,75;47;25,5;1;0;0;0;1;0;0;NA;0;0;4;5;4;6;12.000 forint
13;10;11,5;9,5;80,25;69;70,75;0;1;1;0;1;0;0;1;0;0;11,25;34,5;25;1;0;0;0;1;0;0;NA;0;0;1;4;6;3;11.000 forint
10;0;12;4;64;54;64;0;1;1;0;1;0;0;1;0;0;10;26;28;1;0;0;0;1;0;0;NA;0;0;5;5;7;4;15.000 forint
9.5;5,5;6;6;58,17;48,5;52,67;0;1;1;0;1;0;0;1;0;0;9,67;21,5;21,5;0;0;0;0;1;0;0;NA;0;0;1;3;7;7;11.000 forint
12;8,5;8,5;11;81;70,5;72,5;0;1;1;0;1;0;0;1;0;0;10,5;31,5;30,5;0;0;0;0;1;0;0;NA;0;0;4;4;5;4;12.000 forint
12;9;11;16;91;80,5;82;0;1;1;0;1;0;0;1;0;0;10,5;39;32,5;1;0;0;0;1;0;0;NA;0;0;5;5;6;8;15.000 forint
14.5;8,5;8,5;15,5;83,25;73,5;74,75;0;1;1;0;1;0;0;1;0;0;9,75;38,5;26,5;1;0;0;0;1;0;0;NA;0;0;3;5;9;9;20.000 forint
14.5;12,5;12,5;3;79,5;69;76,5;0;1;1;0;1;0;0;1;0;0;10,5;39,5;26,5;0;0;0;0;1;0;0;NA;0;0;3;5;6;8;15.000 forint
8;2;6;13,5;60;48,5;58;0;1;1;0;1;0;0;1;0;0;11,5;27,5;19;1;0;0;0;1;0;0;NA;0;0;4;5;8;2;15.000 forint
7.5;12,5;9;14;80;69;72,5;0;1;1;0;1;0;0;1;0;0;11;35,5;26;1;0;0;0;1;0;0;NA;0;0;4;5;7;6;12.000 forint
12.5;7,5;15;10,5;87,92;76,5;80,42;0;0;1;0;1;0;0;1;0;0;11,42;38;31;1;0;0;0;1;0;0;NA;0;0;5;5;7;9;15.000 forint
13;11;11;8;78,08;68;70,08;0;1;1;0;1;0;0;1;0;0;10,08;35;25;0;0;0;0;1;0;0;NA;0;0;2;5;8;4;12.000 forint
9;8,5;9;0;57,75;48;57,75;0;1;0;0;1;0;0;1;0;0;9,75;26,5;21,5;1;0;0;0;1;0;0;NA;0;0;3;4;7;6;15.000 forint
11.5;6,5;12,5;9;49,25;39,5;42,75;0;1;1;0;1;0;0;1;0;0;9,75;33;0;1;0;0;0;1;0;0;NA;0;0;3;5;6;9;15.000 forint
15;6;9,5;9;75,5;65,5;69,5;0;1;1;0;1;0;0;1;0;0;10;33,5;26;0;0;0;0;1;0;0;NA;0;0;4;5;9;9;15.000 forint
13;8,5;9,5;13,5;79,58;69;71,08;0;1;1;0;1;0;0;1;0;0;10,58;36;24,5;0;0;0;0;1;0;0;NA;0;0;4;5;3;10;12.000 forint
0;7,5;4;5;25;16,5;25;0;1;1;0;1;0;0;0;0;1;8,5;16,5;0;1;0;0;0;1;0;0;NA;0;1;4;5;8;8;15.000 forint
0;1;0;0;3,75;1;3,75;0;1;0;0;1;0;0;0;0;1;2,75;1;0;0;0;0;0;1;0;0;NA;0;0;2;5;5;2;11.000 forint
14.5;14,5;13;13,5;91,25;80,5;78,25;0;1;1;0;1;0;0;0;0;1;10,75;42,5;25;1;0;0;0;1;0;0;NA;0;1;4;5;6;9;20.000 forint
11;4,5;7;6;57,5;47;53;0;1;1;0;1;0;0;0;0;1;10,5;24;18,5;0;0;0;0;1;0;0;NA;0;0;5;5;7;9;12.000 forint
8;7,5;8,5;8,5;61,75;50;54,25;0;1;1;0;1;0;0;0;0;1;11,75;25;17,5;0;0;0;0;1;0;0;NA;0;0;4;5;7;7;15.000 forint
5;11,5;8,5;4,5;69,33;58,5;64,83;0;1;1;0;1;0;0;0;0;1;10,83;25;29;1;0;0;0;1;0;0;NA;0;1;4;5;6;8;20.000 forint
16;12;12,5;8,5;88,67;78,5;80,17;0;1;1;0;1;0;0;0;0;1;10,17;40,5;29,5;1;0;0;0;1;0;0;NA;0;1;3;5;4;5;11.000 forint
12;2,5;0;0;20,92;14,5;20,92;0;1;1;0;1;0;0;0;0;1;6,42;14,5;0;0;0;0;0;1;0;0;NA;0;0;2;2;10;10;20.000 forint
11;11,5;12,5;9,5;81,5;72,5;72;0;1;1;0;1;0;0;0;0;1;9;35;28;0;0;0;0;1;0;0;NA;0;0;3;5;7;8;11.000 forint
13;12;14;16;99,25;87,5;87,25;0;0;1;0;1;0;0;0;0;1;11,75;43;32,5;1;0;0;0;1;0;0;NA;0;1;3;5;5;8;20.000 forint
13.5;14,5;8,5;8;85,5;74;77,5;0;1;0;0;1;0;0;0;0;1;11,5;36,5;29,5;1;0;0;0;1;0;0;NA;0;1;4;5;8;8;12.000 forint
8;7,5;5;4;57;46;53;0;1;1;0;1;0;0;0;0;1;11;20,5;21,5;0;0;0;0;1;0;0;NA;0;0;5;5;6;7;11.000 forint
7.5;3,5;6;2;24,5;19;22,5;0;1;1;0;1;0;0;0;0;1;5,5;17;0;1;0;0;0;1;0;0;NA;0;1;1;2;4;8;15.000 forint
14;7;15;14,5;97,5;86;90,5;0;1;1;0;1;0;0;0;0;1;11,5;43,5;35,5;0;0;0;0;1;0;0;NA;0;0;4;5;4;6;11.000 forint
14;10,5;11;4,5;74;63,5;69,5;0;1;0;0;1;0;0;0;0;1;10,5;35,5;23,5;0;0;0;0;1;0;0;NA;0;0;4;4;8;6;15.000 forint
12;2,5;12;7,5;68;59;65,5;0;1;1;0;1;0;0;0;0;1;9;31,5;25;0;0;0;0;1;0;0;NA;0;0;4;5;7;7;15.000 forint
12;7;10;8;79,75;68;72,75;0;1;1;0;1;0;0;0;0;1;11,75;30;31;0;0;0;0;1;0;0;NA;0;0;4;5;6;9;15.000 forint
13;11,5;11;12;86,5;75,5;75,5;0;1;1;0;1;0;0;0;0;1;11;36,5;28;1;0;0;0;1;0;0;NA;0;1;5;5;5;NA;12.000 forint
11.5;12,5;11;5,5;73,5;62,5;68;0;1;1;0;1;0;0;0;0;1;11;35;22;0;0;0;0;1;0;0;NA;0;0;5;5;8;6;11.000 forint
11;0,5;8,5;2;72;62;71,5;0;1;1;0;1;0;0;0;0;1;10;21,5;40;0;0;0;0;1;0;0;NA;0;0;4;5;8;9;15.000 forint
13;10,5;8,5;11;85,75;74;77,25;0;1;0;0;1;0;0;0;0;1;11,75;34,5;31;1;0;0;0;1;0;0;NA;0;1;4;5;9;5;12.000 forint
9;3;3;2;55,83;45;53,83;0;0;1;0;1;0;0;0;0;1;10,83;15;28;1;0;0;0;1;0;0;NA;0;1;3;5;10;10;15.000 forint
13.5;15,5;15;15;104,5;93;91;0;1;1;0;1;0;0;0;1;0;11,5;45,5;34;1;0;0;0;1;0;0;9;1;0;4;5;7;9;12.000 forint
12.5;8,5;9;11;77,25;65,5;68,75;0;0;1;0;1;0;0;0;1;0;11,75;32,5;24,5;1;0;0;0;1;0;0;9;1;0;4;4;6;6;15.000 forint
14;11,5;16;8;91,25;80,5;83,25;0;1;1;0;1;0;0;0;1;0;10,75;41,5;31;0;0;0;0;1;0;0;9;0;0;3;5;7;8;15.000 forint
14;4;12;12;76,5;65,5;72,5;0;1;1;0;1;0;0;0;1;0;11;38;23,5;1;0;0;0;1;0;0;9;1;0;3;4;7;3;20.000 forint
14.5;6,5;11;9,5;83,42;74;76,92;0;1;1;0;1;0;0;0;1;0;9,42;35;32,5;0;0;0;0;1;0;0;9;0;0;5;5;7;10;15.000 forint
15;12,5;12;15;95,25;84;83,25;0;1;0;0;1;0;0;0;1;0;11,25;42,5;29,5;1;0;0;0;1;0;0;9;1;0;4;5;7;7;12.000 forint
14.5;16;13;13,5;97,83;86;84,83;0;1;1;0;1;0;0;0;1;0;11,83;44;29;1;0;0;0;1;0;0;9;1;0;3;4;7;6;20.000 forint
14;10;12;10;87,25;75,5;77,25;0;1;0;0;1;0;0;0;1;0;11,75;36;29,5;0;0;0;0;1;0;0;9;0;0;3;5;5;3;15.000 forint
14.5;12;15;13;95;84;83;0;1;0;0;1;0;0;0;1;0;11;42,5;29,5;1;0;0;0;1;0;0;9;1;0;4;5;5;5;15.000 forint
11;8;12;11;79,75;70;71,75;0;1;1;0;1;0;0;0;1;0;9,75;34;28;0;0;0;0;1;0;0;9;0;0;NA;3;8;10;12.000 forint
6.5;5,5;14;0;65,25;54;65,25;0;1;1;0;1;0;0;0;1;0;11,25;26;28;0;0;0;0;1;0;0;9;0;0;3;5;5;5;15.000 forint
16;13,5;10,5;9;90,5;78,5;81,5;0;0;1;0;1;0;0;0;1;0;12;40;29,5;1;0;0;0;1;0;0;9;1;0;3;5;7;7;15.000 forint
14;3,5;10,5;12;80,75;69;77,25;0;1;0;0;1;0;0;0;1;0;11,75;36,5;29;0;0;0;0;1;0;0;9;0;0;2;5;8;7;12.000 forint
14.5;7,5;13;13;94;82;86,5;0;1;0;0;1;0;0;0;1;0;12;40,5;34;1;0;0;0;1;0;0;9;1;0;3;5;5;8;12.000 forint
13;1;13;13;78,75;67,5;77,75;0;1;1;0;1;0;0;0;1;0;11,25;39;27,5;1;0;0;0;1;0;0;9;1;0;3;5;6;7;12.000 forint
12.5;13,5;10,5;5,5;79,5;68,5;74;0;0;1;0;1;0;0;0;1;0;11;36,5;26,5;1;0;0;0;1;0;0;9;1;0;4;5;7;8;20.000 forint
12.5;15,5;10,5;14;97,58;88;87,08;0;1;1;0;1;0;0;0;1;0;9,58;42;35,5;0;0;0;0;1;0;0;9;0;0;3;5;8;9;11.000 forint
15;9,5;13,5;12;95;84;85,5;0;1;1;0;1;0;0;0;1;0;11;40,5;34;0;0;0;0;1;0;0;9;0;0;4;5;6;8;12.000 forint
10.5;5;3,5;4,5;59,92;49,5;56,42;0;1;0;0;1;0;0;0;1;0;10,42;20;26;1;0;0;0;1;0;0;9;1;0;4;3;6;7;11.000 forint
13.5;6,5;14;13;87,83;76,5;81,33;0;1;1;0;1;0;0;0;1;0;11,33;40,5;29,5;1;0;0;0;1;0;0;9;1;0;5;5;7;9;20.000 forint
16;11;12;10;90,08;78,5;80,08;0;0;0;0;1;0;0;0;1;0;11,58;39;29,5;0;0;0;0;1;0;0;9;0;0;5;5;5;3;12.000 forint
11.5;14,5;10;0;86,75;76;86,75;0;1;1;0;1;0;0;0;1;0;10,75;36;40;1;0;0;0;1;0;0;9;1;0;5;5;5;9;12.000 forint
9;4;10,5;9;73,25;63,5;69,25;0;1;1;0;1;0;0;0;1;0;9,75;28,5;31;1;0;0;0;1;0;0;9;1;0;3;5;6;10;20.000 forint
13;11,5;11,5;10;84,75;74;74,75;0;0;1;0;1;0;0;0;1;0;10,75;36;28;0;0;0;0;1;0;0;9;0;0;4;5;7;7;12.000 forint
11;10;14;11,5;78,17;67;68,17;0;0;1;0;1;0;0;0;1;0;11,17;36,5;20,5;1;0;0;0;1;0;0;9;1;0;4;4;6;8;15.000 forint
15;13,5;11;14;97,25;86;86,25;0;1;0;0;1;0;0;0;1;0;11,25;42,5;32,5;0;0;0;0;1;0;0;9;0;0;4;5;8;10;11.000 forint
10;7;13;0;64,5;53,5;64,5;1;1;0;0;0;0;1;1;0;0;11;30;23,5;0;0;0;0;0;0;1;15;0;0;3;4;8;10;20.000 forint
10;12;9;9;72,75;61;63,75;1;0;0;0;0;0;1;1;0;0;11,75;31;21;1;0;0;0;0;0;1;15;0;0;3;5;10;2;20.000 forint
9;10;11;5,5;64,75;54;59,25;1;1;0;0;0;0;1;1;0;0;10,75;30;18,5;1;0;0;0;0;0;1;15;0;0;3;3;4;3;20.000 forint
6;11;5;10;62,75;52;57,75;1;1;0;0;0;0;1;1;0;0;10,75;27;20;1;0;0;0;0;0;1;15;0;0;3;4;6;3;15.000 forint
5;5,5;3;5;45,5;35,5;42,5;1;1;1;0;0;0;1;1;0;0;10;15,5;17;0;0;0;0;0;0;1;15;0;0;3;4;4;8;12.000 forint
9.5;11,5;14;16;93,25;82;83,75;1;1;1;0;0;0;1;1;0;0;11,25;41,5;31;0;0;0;0;0;0;1;15;0;0;3;5;6;8;15.000 forint
0;5;6;0;21,5;11;21,5;1;1;0;0;0;0;1;1;0;0;10,5;11;0;0;0;0;0;0;0;1;15;0;0;4;4;8;8;12.000 forint
11;6;0;8;57,5;48;57,5;1;1;0;0;0;0;1;1;0;0;9,5;25;23;1;0;0;0;0;0;1;15;0;0;3;4;8;10;12.000 forint
4;0;0;0;13;4;13;1;1;1;0;0;0;1;1;0;0;9;4;0;1;0;0;0;0;0;1;15;0;0;5;4;3;10;15.000 forint
7;9;7;11;56,42;46;49,42;1;1;0;0;0;0;1;1;0;0;10,42;27;12;1;0;0;0;0;0;1;15;0;0;1;3;5;3;15.000 forint
12;9,5;13;16;90;78;80,5;1;0;0;0;0;0;1;1;0;0;12;41;27,5;0;0;0;0;0;0;1;15;0;0;3;4;6;6;20.000 forint
10;10;8;14;73,25;62,5;65,25;1;0;1;0;0;0;1;1;0;0;10,75;34;20,5;0;0;0;0;0;0;1;15;0;0;2;5;4;8;12.000 forint
4;0;0;0;8;4;8;1;0;0;0;0;0;1;1;0;0;4;4;0;1;0;0;0;0;0;1;15;0;0;2;4;7;8;15.000 forint
7.5;9;0;0;25,75;16,5;25,75;1;1;1;0;0;0;1;1;0;0;9,25;16,5;0;0;0;0;0;0;0;1;15;0;0;3;5;7;9;15.000 forint
12;6,5;15;14;83,25;72;76,75;1;0;0;0;0;0;1;1;0;0;11,25;41;24,5;0;0;0;0;0;0;1;15;0;0;5;5;5;10;15.000 forint
6;5;7;10;58,5;47;53,5;1;0;1;0;0;0;1;1;0;0;11,5;23;19;1;0;0;0;0;0;1;15;0;0;4;5;7;8;15.000 forint
4;0;0;0;6,75;4;6,75;1;1;0;0;0;0;1;1;0;0;2,75;4;0;0;0;0;0;0;0;1;15;0;0;4;4;9;10;20.000 forint
4;0;4,5;5;23,25;13,5;23,25;1;1;0;0;0;0;1;1;0;0;9,75;13,5;0;1;0;0;0;0;0;1;15;0;0;NA;3;5;7;12.000 forint
9;9,5;8;0;63,5;53;63,5;1;0;0;0;0;0;1;1;0;0;10,5;26,5;26,5;1;0;0;0;0;0;1;15;0;0;3;4;6;10;20.000 forint
10;7;11,5;11;76,25;65,5;69,25;1;0;0;0;0;0;1;1;0;0;10,75;32,5;26;0;0;0;0;0;0;1;15;0;0;4;4;8;7;20.000 forint
3;3;5;9,5;48;39;45;1;0;1;0;0;0;1;1;0;0;9;17,5;18,5;0;0;0;0;0;0;1;15;0;0;3;4;7;8;15.000 forint
10;10;15;14,5;87,25;76;77,25;1;0;0;0;0;0;1;1;0;0;11,25;39,5;26,5;0;0;0;0;0;0;1;15;0;0;4;5;8;8;20.000 forint
11;6;15;14;85,25;74;79,25;1;0;0;0;0;0;1;1;0;0;11,25;40;28;0;0;0;0;0;0;1;15;0;0;4;4;5;8;11.000 forint
13.5;6,5;15;14;82,75;71;76,25;1;1;1;0;0;0;1;1;0;0;11,75;42,5;22;1;0;0;0;0;0;1;15;0;0;5;5;8;6;15.000 forint
8;15;0;13;75,5;63,5;75,5;1;1;0;0;0;0;1;1;0;0;12;36;27,5;0;0;0;0;0;0;1;15;0;0;4;4;7;9;12.000 forint
15;14;13;16;96,75;86;83,75;1;0;0;0;0;0;1;1;0;0;10,75;45;28;1;0;0;0;0;0;1;15;0;0;4;4;8;9;15.000 forint
2;9;4;0;21,25;15;21,25;1;0;0;0;0;0;1;1;0;0;6,25;15;0;1;0;0;0;0;0;1;15;0;0;3;5;8;6;15.000 forint
13;12;15,5;16;103,5;92;91,5;1;1;0;0;0;0;1;1;0;0;11,5;44,5;35,5;0;0;0;0;0;0;1;15;0;0;5;5;7;8;20.000 forint
3;10;2;8,5;43,67;33;41,67;1;0;0;0;0;0;1;1;0;0;10,67;21,5;9,5;1;0;0;0;0;0;1;15;0;0;NA;5;5;0;15.000 forint
3;7;9,5;3,5;50,75;40;47,75;1;1;0;0;0;0;1;1;0;0;10,75;20;17;0;0;0;0;0;0;1;15;0;0;4;4;3;8;20.000 forint
7.5;4;9;11;59,5;48,5;55,5;1;1;0;0;0;0;1;1;0;0;11;27,5;17;0;0;0;0;0;0;1;15;0;0;3;3;4;6;20.000 forint