test1;test2;test3;test4;final_test;semester_tests;total_score;total_score_without_hw;final_score;d_szfvar;d_nowork;d_okt;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_hybrid;treatment_loss;treatment_gain;homework_total;d_no;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;female_loss;female_hybrid;Group;loss_final;loss_semester;Group_cat
12,0;15,0;16,0;16,0;32,5;47,0;103,50;91,5;91,50;0;0;7;0;1;1;0;0;0;0;1;0;12,00;1;0;0;0;0;0;1;1;0;G01;1;1;1
9,0;8,0;14,5;10,0;28,0;33,5;80,67;69,5;72,67;0;1;7;1;0;1;0;0;0;0;1;0;11,17;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;14,5;13,0;15,0;35,5;42,5;102,50;91,0;89,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
7,0;7,0;14,0;11,5;29,5;32,5;78,50;69,0;71,50;0;0;7;1;1;1;0;0;0;0;1;0;9,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
11,0;15,0;12,0;10,0;31,0;38,0;88,50;79,0;78,50;0;1;7;1;1;1;0;0;0;0;1;0;9,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
15,0;16,0;15,5;16,0;31,0;47,5;105,25;93,5;90,25;0;1;7;1;0;1;0;0;0;0;1;0;11,75;1;0;0;0;0;0;1;1;0;G01;1;1;1
4,0;13,0;10,5;15,0;32,0;38,5;86,00;74,5;82,00;0;1;7;1;0;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
15,0;14,0;16,0;15,5;32,5;46,5;105,00;93,0;91,00;0;1;7;0;0;1;0;0;0;0;1;0;12,00;1;0;0;0;0;0;1;1;0;G01;1;1;1
10,0;10,5;8,0;10,0;26,5;30,5;76,50;65,0;68,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
13,0;14,0;13,0;15,0;37,0;42,0;103,50;92,0;90,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
9,0;7,0;10,5;7,5;25,0;27,0;70,50;59,0;63,50;0;1;7;1;0;1;0;0;0;0;1;0;11,50;0;0;0;0;0;0;1;0;0;G01;1;1;1
12,0;14,5;13,5;12,5;34,0;40,5;98,25;86,5;86,25;0;1;7;1;1;1;0;0;0;0;1;0;11,75;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;9,5;9,5;10,0;23,0;32,5;76,25;65,0;66,75;0;0;7;1;1;1;0;0;0;0;1;0;11,25;1;0;0;0;0;0;1;1;0;G01;1;1;1
12,0;13,0;16,0;11,0;32,5;41,0;95,50;84,5;84,50;0;1;7;0;0;1;0;0;0;0;1;0;11,00;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;12,0;15,0;14,0;32,5;41,0;95,83;84,5;84,83;0;1;7;1;1;1;0;0;0;0;1;0;11,33;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;4,0;5,5;16,0;14,0;32,5;61,33;50,5;57,33;0;0;7;0;0;1;0;0;0;0;1;0;10,83;0;0;0;0;0;0;1;0;0;G01;1;1;1
6,0;11,0;15,5;10,0;28,0;36,5;81,75;70,5;75,75;0;0;7;1;1;1;0;0;0;0;1;0;11,25;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;14,0;9,0;13,0;26,5;38,0;84,00;73,5;75,00;0;0;7;0;0;1;0;0;0;0;1;0;10,50;0;0;0;0;0;0;1;0;0;G01;1;1;1
10,0;6,0;9,0;8,0;20,5;27,0;64,33;53,5;58,33;0;0;7;1;0;1;0;0;0;0;1;0;10,83;0;0;0;0;0;0;1;0;0;G01;1;1;1
4,0;9,5;12,5;10,0;28,0;32,0;75,75;64,0;71,75;0;0;7;1;0;1;0;0;0;0;1;0;11,75;1;0;0;0;0;0;1;1;0;G01;1;1;1
9,0;7,0;7,5;3,5;23,5;23,5;61,83;50,5;58,33;0;1;7;1;1;1;0;0;0;0;1;0;11,33;1;0;0;0;0;0;1;1;0;G01;1;1;1
10,5;10,5;16,0;13,0;29,5;39,5;90,50;79,5;80,00;0;0;7;1;1;1;0;0;0;0;1;0;11,00;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;13,0;8,0;9,0;23,0;35,0;78,00;66,0;70,00;0;0;7;1;1;1;0;0;0;0;1;0;12,00;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;8,5;16,0;16,0;34,0;45,0;98,25;87,5;89,75;0;0;7;0;0;1;0;0;0;0;1;0;10,75;1;0;0;0;0;0;1;1;0;G01;1;1;1
13,5;8,5;15,0;14,0;31,0;42,5;93,33;82,0;84,83;0;1;7;1;0;1;0;0;0;0;1;0;11,33;1;0;0;0;0;0;1;1;0;G01;1;1;1
7,0;14,0;12,0;13,0;28,0;39,0;84,75;74,0;77,75;0;0;7;1;1;1;0;0;0;0;1;0;10,75;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;6,5;15,5;16,0;30,5;44,5;92,92;81,5;86,42;0;1;7;1;1;1;0;0;0;0;1;0;11,42;0;0;0;0;0;0;1;0;0;G01;1;1;1
8,0;10,0;11,0;6,0;19,5;29,0;65,25;54,5;59,25;0;1;3;1;1;1;0;0;0;0;1;0;10,75;1;0;1;0;0;0;0;1;0;G04;1;1;4
11,5;6,0;11,0;4,0;16,0;28,5;60,50;48,5;56,50;0;1;3;1;1;1;0;0;0;0;1;0;12,00;1;0;1;0;0;0;0;1;0;G04;1;1;4
6,0;6,0;0,0;0,0;40,0;12,0;61,75;52,0;61,75;0;0;3;1;0;1;0;0;0;0;1;0;9,75;0;0;1;0;0;0;0;0;0;G04;1;1;4
12,5;4,0;12,0;4,0;16,5;28,5;58,00;49,0;54,00;0;0;3;1;0;1;0;0;0;0;1;0;9,00;0;0;1;0;0;0;0;0;0;G04;1;1;4
5,0;8,5;14,0;16,0;23,5;38,5;77,75;67,0;72,75;0;0;3;1;0;1;0;0;0;0;1;0;10,75;0;0;1;0;0;0;0;0;0;G04;1;1;4
5,5;13,5;8,0;0,0;0,0;27,0;32,25;27,0;32,25;0;0;3;1;1;1;0;0;0;0;1;0;5,25;0;0;1;0;0;0;0;0;0;G04;1;1;4
6,0;14,0;11,5;8,0;28,0;33,5;76,65;67,5;70,65;0;1;3;0;1;1;0;0;0;0;1;0;9,15;1;0;1;0;0;0;0;1;0;G04;1;1;4
10,0;5,0;11,5;10,0;0,0;31,5;44,83;36,5;39,83;0;0;3;0;0;1;0;0;0;0;1;0;8,33;1;0;1;0;0;0;0;1;0;G04;1;1;4
8,0;5,0;12,5;10,0;14,0;30,5;59,25;49,5;54,25;0;1;3;1;0;1;0;0;0;0;1;0;9,75;1;0;1;0;0;0;0;1;0;G04;1;1;4
11,0;7,0;14,0;12,0;28,0;37,0;83,75;72,0;76,75;0;0;3;0;1;1;0;0;0;0;1;0;11,75;1;0;1;0;0;0;0;1;0;G04;1;1;4
8,5;12,0;11,0;10,5;21,5;33,5;74,25;63,5;65,75;0;1;3;1;0;1;0;0;0;0;1;0;10,75;1;0;1;0;0;0;0;1;0;G04;1;1;4
9,0;14,5;13,0;14,0;32,0;41,5;94,50;82,5;85,50;0;0;3;1;1;1;0;0;0;0;1;0;12,00;0;0;1;0;0;0;0;0;0;G04;1;1;4
2,0;5,0;0,0;0,0;40,0;7,0;56,50;47,0;56,50;0;1;3;0;1;1;0;0;0;0;1;0;9,50;0;0;1;0;0;0;0;0;0;G04;1;1;4
15,0;9,5;16,0;14,0;31,0;45,0;97,00;85,5;87,50;0;1;3;0;0;1;0;0;0;0;1;0;11,50;1;0;1;0;0;0;0;1;0;G04;1;1;4
9,0;4,0;11,5;9,5;0,0;30,0;42,25;34,0;38,25;0;0;3;1;1;1;0;0;0;0;1;0;8,25;0;0;1;0;0;0;0;0;0;G04;1;1;4
6,0;7,0;16,0;11,0;32,5;34,0;82,58;72,5;76,58;0;1;3;0;1;1;0;0;0;0;1;0;10,08;0;0;1;0;0;0;0;0;0;G04;1;1;4
5,5;9,0;11,0;15,5;38,5;35,5;89,25;79,5;83,75;0;0;3;0;1;1;0;0;0;0;1;0;9,75;1;0;1;0;0;0;0;1;0;G04;1;1;4
7,0;15,0;13,0;11,0;40,0;39,0;95,50;86,0;88,50;0;0;3;1;0;1;0;0;0;0;1;0;9,50;1;0;1;0;0;0;0;1;0;G04;1;1;4
8,0;6,0;6,0;3,0;24,5;20,0;57,67;47,5;54,67;0;1;3;1;1;1;0;0;0;0;1;0;10,17;1;0;1;0;0;0;0;1;0;G04;1;1;4
0,5;3,0;8,5;9,5;34,0;21,0;64,58;55,5;64,08;0;0;3;1;1;1;0;0;0;0;1;0;9,08;0;0;1;0;0;0;0;0;0;G04;1;1;4
10,0;16,0;15,5;11,0;30,5;42,5;94,50;83,0;84,50;0;1;3;1;1;1;0;0;0;0;1;0;11,50;0;0;1;0;0;0;0;0;0;G04;1;1;4
16,0;12,0;11,5;15,0;37,0;43,0;103,50;91,5;92,00;0;1;3;1;1;1;0;0;0;0;1;0;12,00;0;0;1;0;0;0;0;0;0;G04;1;1;4
9,0;11,5;11,0;14,0;31,0;36,5;87,75;76,5;78,75;0;1;3;1;1;1;0;0;0;0;1;0;11,25;0;0;1;0;0;0;0;0;0;G04;1;1;4
14,0;9,5;9,5;10,0;19,0;33,5;71,25;62,0;61,75;0;1;3;1;1;0;0;0;1;1;0;0;9,25;0;0;1;0;0;0;0;0;0;G06;1;0;6
11,0;13,0;15,0;12,0;26,0;40,0;88,25;77,0;77,25;0;1;3;0;1;0;0;0;1;1;0;0;11,25;0;0;1;0;0;0;0;0;0;G06;1;0;6
12,0;13,0;10,0;10,5;20,0;35,5;77,25;65,5;67,25;0;0;3;0;0;0;0;0;1;1;0;0;11,75;0;0;1;0;0;0;0;0;0;G06;1;0;6
14,0;11,0;11,0;14,5;29,5;39,5;91,00;80,0;80,00;0;0;3;1;1;0;0;0;1;1;0;0;11,00;0;0;1;0;0;0;0;0;0;G06;1;0;6
6,5;3,0;0,0;0,0;40,0;9,5;60,00;49,5;60,00;0;0;3;1;1;0;0;0;1;1;0;0;10,50;0;0;1;0;0;0;0;0;0;G06;1;0;6
11,0;14,0;7,0;11,0;16,0;36,0;70,25;59,0;63,25;0;0;3;0;0;0;0;0;1;1;0;0;11,25;1;0;1;0;0;0;0;0;1;G06;1;0;6
13,5;13,0;0,0;0,0;0,0;26,5;32,50;26,5;32,50;0;0;3;0;1;0;0;0;1;1;0;0;6,00;0;0;1;0;0;0;0;0;0;G06;1;0;6
16,0;15,0;14,0;7,0;29,5;45,0;93,25;81,5;86,25;0;1;3;1;1;0;0;0;1;1;0;0;11,75;1;0;1;0;0;0;0;0;1;G06;1;0;6
14,0;12,5;14,0;0,0;26,0;40,5;77,75;66,5;77,75;0;0;3;1;1;0;0;0;1;1;0;0;11,25;1;0;1;0;0;0;0;0;1;G06;1;0;6
9,0;10,0;12,0;7,0;19,0;31,0;66,50;57,0;59,50;0;0;3;1;1;0;0;0;1;1;0;0;9,50;0;0;1;0;0;0;0;0;0;G06;1;0;6
15,0;12,5;16,0;15,5;32,5;46,5;100,75;91,5;88,25;0;1;3;1;0;0;0;0;1;1;0;0;9,25;1;0;1;0;0;0;0;0;1;G06;1;0;6
15,5;13,5;16,0;16,0;37,0;47,5;109,75;98,0;96,25;0;1;3;1;1;0;0;0;1;1;0;0;11,75;0;0;1;0;0;0;0;0;0;G06;1;0;6
7,5;7,0;9,0;2,5;23,5;23,5;60,00;49,5;57,50;0;1;3;1;0;0;0;0;1;1;0;0;10,50;0;0;1;0;0;0;0;0;0;G06;1;0;6
12,0;6,0;1,0;15,0;23,0;33,0;67,75;57,0;66,75;0;1;3;0;0;0;0;0;1;1;0;0;10,75;0;0;1;0;0;0;0;0;0;G06;1;0;6
10,5;11,5;7,5;7,0;25,0;29,5;73,50;61,5;66,50;0;1;3;1;0;0;0;0;1;0;0;1;12,00;1;0;1;0;0;0;0;0;0;G07;0;0;7
0,0;0,0;5,0;0,0;0,0;5,0;11,75;5,0;11,75;0;0;3;1;1;0;0;0;1;0;0;1;6,75;0;0;1;0;0;0;0;0;0;G07;0;0;7
6,0;15,0;11,0;11,0;19,0;37,0;71,50;62,0;65,50;0;1;3;0;1;0;0;0;1;0;0;1;9,50;1;0;1;0;0;0;0;0;0;G07;0;0;7
5,0;3,0;9,0;3,0;27,5;17,0;57,58;47,5;54,58;0;0;3;1;1;0;0;0;1;0;0;1;10,08;0;0;1;0;0;0;0;0;0;G07;0;0;7
16,0;16,0;14,0;15,0;34,0;47,0;106,00;95,0;92,00;0;1;3;1;1;0;0;0;1;0;0;1;11,00;0;0;1;0;0;0;0;0;0;G07;0;0;7
10,0;10,5;4,0;11,5;22,0;32,0;67,00;58,0;63,00;0;1;3;1;1;0;0;0;1;0;0;1;9,00;0;0;1;0;0;0;0;0;0;G07;0;0;7
14,0;12,5;16,0;0,0;0,0;42,5;49,00;42,5;49,00;0;0;3;1;0;0;0;0;1;0;0;1;6,50;0;0;1;0;0;0;0;0;0;G07;0;0;7
14,0;16,0;13,0;15,0;34,0;45,0;103,75;92,0;90,75;0;1;3;1;1;0;0;0;1;0;0;1;11,75;1;0;1;0;0;0;0;0;0;G07;0;0;7
9,0;4,0;9,0;7,0;21,5;25,0;59,83;50,5;55,83;0;0;3;1;1;0;0;0;1;0;0;1;9,33;0;0;1;0;0;0;0;0;0;G07;0;0;7
8,0;6,0;0,0;0,0;0,0;14,0;24,17;14,0;24,17;0;1;3;0;0;0;0;0;1;0;0;1;10,17;0;0;1;0;0;0;0;0;0;G07;0;0;7
12,0;13,0;13,0;10,0;26,0;38,0;84,25;74,0;74,25;0;1;3;1;1;0;0;0;1;0;0;1;10,25;0;0;1;0;0;0;0;0;0;G07;0;0;7
13,0;11,5;14,0;13,0;23,0;40,0;85,00;74,5;73,50;0;0;3;0;0;0;0;0;1;0;0;1;10,50;0;0;1;0;0;0;0;0;0;G07;0;0;7
8,0;2,5;8,5;8,0;24,5;24,5;60,50;51,5;58,00;0;0;3;1;0;0;0;0;1;0;0;1;9,00;0;0;1;0;0;0;0;0;0;G07;0;0;7
6,5;7,5;7,0;0,0;0,0;21,0;29,75;21,0;29,75;0;1;3;1;1;0;0;0;1;0;0;1;8,75;0;0;1;0;0;0;0;0;0;G07;0;0;7
7,5;7,0;7,5;9,0;0,0;24,0;41,75;31,0;34,75;0;0;3;1;1;0;0;0;1;0;0;1;10,75;0;0;1;0;0;0;0;0;0;G07;0;0;7
13,0;6,0;16,0;11,0;20,0;40,0;75,83;66,0;69,83;0;0;3;1;0;0;0;0;1;0;0;1;9,83;1;0;1;0;0;0;0;0;0;G07;0;0;7
13,0;6,0;14,0;13,0;29,5;40,0;86,75;75,5;80,75;0;0;3;1;1;0;0;0;1;0;0;1;11,25;1;0;1;0;0;0;0;0;0;G07;0;0;7
10,5;15,0;14,0;12,0;26,5;41,0;88,00;78,0;77,50;0;0;3;1;1;0;0;0;1;0;0;1;10,00;0;0;1;0;0;0;0;0;0;G07;0;0;7
13,0;14,5;13,0;11,5;34,0;40,5;96,50;86,0;85,00;0;0;3;1;1;0;0;0;1;0;0;1;10,50;0;0;1;0;0;0;0;0;0;G07;0;0;7
9,5;12,0;14,5;14,0;32,0;40,5;93,50;82,0;84,00;0;1;3;1;1;0;0;0;1;0;0;1;11,50;1;0;1;0;0;0;0;0;0;G08;0;0;8
14,0;8,5;8,0;6,0;22,0;30,5;67,50;58,5;61,50;0;1;3;0;1;0;0;0;1;0;0;1;9,00;0;0;1;0;0;0;0;0;0;G08;0;0;8
15,0;16,0;14,5;0,0;29,0;45,5;86,00;74,5;86,00;0;1;3;1;1;0;0;0;1;0;0;1;11,50;1;0;1;0;0;0;0;0;0;G08;0;0;8
13,0;10,0;14,0;0,0;19,0;37,0;67,00;56,0;67,00;0;0;3;1;1;0;0;0;1;0;0;1;11,00;1;0;1;0;0;0;0;0;0;G08;0;0;8
12,0;13,0;8,0;16,0;35,0;41,0;95,50;84,0;87,50;0;1;3;1;1;0;0;0;1;0;0;1;11,50;0;0;1;0;0;0;0;0;0;G08;0;0;8
0,5;5,5;11,0;10,0;22,0;26,5;59,50;49,0;59,00;0;0;3;1;0;0;0;0;1;0;0;1;10,50;1;0;1;0;0;0;0;0;0;G08;0;0;8
6,5;4,0;0,0;0,0;0,0;10,5;13,25;10,5;13,25;0;0;3;1;0;0;0;0;1;0;0;1;2,75;0;0;1;0;0;0;0;0;0;G08;0;0;8
12,0;11,5;13,0;10,0;19,0;36,5;76,00;65,5;66,00;0;1;3;1;0;0;0;0;1;0;0;1;10,50;0;0;1;0;0;0;0;0;0;G08;0;0;8
16,0;13,5;13,0;16,0;35,5;45,5;105,00;94,0;92,00;0;1;3;1;1;0;0;0;1;0;0;1;11,00;1;0;1;0;0;0;0;0;0;G08;0;0;8
8,0;11,5;8,0;8,0;0,0;27,5;45,50;35,5;37,50;0;0;3;1;0;0;0;0;1;0;0;1;10,00;1;0;1;0;0;0;0;0;0;G08;0;0;8
13,0;13,0;15,0;16,0;35,5;44,0;104,50;92,5;91,50;0;1;3;1;1;0;0;0;1;0;0;1;12,00;1;0;1;0;0;0;0;0;0;G08;0;0;8
5,0;7,0;6,0;0,0;23,5;18,0;52,50;41,5;52,50;0;1;3;1;1;0;0;0;1;0;0;1;11,00;0;0;1;0;0;0;0;0;0;G08;0;0;8
4,5;7,0;10,0;0,0;0,0;21,5;29,83;21,5;29,83;0;0;3;1;0;0;0;0;1;0;0;1;8,33;0;0;1;0;0;0;0;0;0;G08;0;0;8
8,5;11,0;14,0;11,0;26,5;36,0;82,33;71,0;73,83;0;1;3;1;1;0;0;0;1;0;0;1;11,33;0;0;1;0;0;0;0;0;0;G08;0;0;8
7,0;1,0;10,0;5,0;20,0;22,0;54,00;43,0;53,00;0;0;3;1;1;0;0;0;1;0;0;1;11,00;0;0;1;0;0;0;0;0;0;G08;0;0;8
15,0;11,5;14,0;12,0;30,5;41,0;92,17;83,0;80,67;0;1;2;1;0;1;0;0;0;0;1;0;9,17;1;1;0;0;0;0;0;1;0;G02;1;1;2
8,5;9,0;11,5;14,5;23,5;35,0;79,00;67,0;70,50;0;1;2;0;1;1;0;0;0;0;1;0;12,00;0;1;0;0;0;0;0;0;0;G02;1;1;2
10,5;13,0;12,5;13,0;29,5;38,5;90,25;78,5;79,75;0;1;2;1;1;1;0;0;0;0;1;0;11,75;0;1;0;0;0;0;0;0;0;G02;1;1;2
0,0;6,5;12,0;0,0;40,0;18,5;70,25;58,5;70,25;0;0;2;1;0;1;0;0;0;0;1;0;11,75;1;1;0;0;0;0;0;1;0;G02;1;1;2
9,5;15,5;16,0;15,0;34,0;46,5;102,00;90,0;92,50;0;0;2;1;1;1;0;0;0;0;1;0;12,00;1;1;0;0;0;0;0;1;0;G02;1;1;2
11,5;12,0;0,0;12,0;19,0;35,5;63,75;54,5;63,75;0;0;2;1;1;1;0;0;0;0;1;0;9,25;0;1;0;0;0;0;0;0;0;G02;1;1;2
6,0;11,5;0,0;0,0;40,0;17,5;69,25;57,5;69,25;0;0;2;1;1;1;0;0;0;0;1;0;11,75;0;1;0;0;0;0;0;0;0;G02;1;1;2
